,press,vol,temp
442,132876.61,0.76,220.00
443,133007.27,0.76,220.00
444,133138.17,0.76,220.00
445,133269.33,0.76,220.00
446,133400.77,0.76,220.00
447,133532.45,0.76,220.00
448,133664.41,0.76,220.00
449,133796.61,0.76,220.00
450,133929.08,0.76,220.00
451,134061.81,0.76,220.00
452,134194.81,0.76,220.00
453,134328.06,0.75,220.00
454,134461.58,0.75,220.00
455,134595.38,0.75,220.00
456,134729.44,0.75,220.00
457,134863.75,0.75,220.00
458,134998.34,0.75,220.00
459,135133.20,0.75,220.00
460,135268.33,0.75,220.00
461,135403.73,0.75,220.00
462,135539.41,0.75,220.00
463,135675.36,0.75,220.00
464,135811.58,0.75,220.00
465,135948.08,0.75,220.00
466,136084.84,0.74,220.00
467,136221.89,0.74,220.00
468,136359.20,0.74,220.00
469,136496.80,0.74,220.00
470,136634.67,0.74,220.00
471,136772.83,0.74,220.00
472,136911.25,0.74,220.00
473,137049.97,0.74,220.00
474,137188.97,0.74,220.00
475,137328.23,0.74,220.00
476,137467.80,0.74,220.00
477,137607.62,0.74,220.00
478,137747.75,0.74,220.00
479,137888.17,0.73,220.00
480,138028.88,0.73,220.00
481,138169.86,0.73,220.00
482,138311.12,0.73,220.00
483,138452.69,0.73,220.00
484,138594.55,0.73,220.00
485,138736.70,0.73,220.00
486,138879.14,0.73,220.00
487,139021.86,0.73,220.00
488,139164.88,0.73,220.00
489,139308.19,0.73,220.00
490,139451.80,0.73,220.00
491,139595.70,0.73,220.00
492,139739.92,0.73,220.00
493,139884.44,0.72,220.00
494,140029.25,0.72,220.00
495,140174.36,0.72,220.00
496,140319.77,0.72,220.00
497,140465.48,0.72,220.00
498,140611.50,0.72,220.00
499,140757.81,0.72,220.00
500,140904.44,0.72,220.00
501,141051.36,0.72,220.00
502,141198.59,0.72,220.00
503,141346.12,0.72,220.00
504,141493.97,0.72,220.00
505,141642.12,0.72,220.00
506,141790.59,0.71,220.00
507,141939.38,0.71,220.00
508,142088.47,0.71,220.00
509,142237.88,0.71,220.00
510,142387.59,0.71,220.00
511,142537.62,0.71,220.00
512,142687.98,0.71,220.00
513,142838.66,0.71,220.00
514,142989.64,0.71,220.00
515,143140.95,0.71,220.00
516,143292.58,0.71,220.00
517,143444.52,0.71,220.00
518,143596.80,0.71,220.00
519,143749.39,0.70,220.00
520,143902.31,0.70,220.00
521,144055.55,0.70,220.00
522,144209.12,0.70,220.00
523,144363.02,0.70,220.00
524,144517.25,0.70,220.00
525,144671.81,0.70,220.00
526,144826.70,0.70,220.00
527,144981.94,0.70,220.00
528,145137.48,0.70,220.00
529,145293.38,0.70,220.00
530,145449.61,0.70,220.00
531,145606.19,0.70,220.00
532,145763.08,0.70,220.00
533,145920.31,0.69,220.00
534,146077.89,0.69,220.00
535,146235.81,0.69,220.00
536,146394.06,0.69,220.00
537,146552.66,0.69,220.00
538,146552.66,0.69,220.00
539,146552.66,0.69,220.00
540,146552.66,0.69,220.00
541,146552.66,0.69,220.00
542,146552.66,0.69,220.00
543,146552.66,0.69,220.00
544,146552.66,0.69,220.00
545,146552.66,0.69,220.00
546,146552.66,0.69,220.00
547,146552.66,0.69,220.00
548,146552.66,0.69,220.00
549,146552.66,0.69,220.00
550,146552.66,0.69,220.00
551,146552.66,0.69,220.00
552,146552.66,0.69,220.00
553,146552.66,0.69,220.00
554,146552.66,0.69,220.00
555,146552.66,0.69,220.00
556,146552.66,0.69,220.00
557,146552.66,0.69,220.00
558,146552.66,0.69,220.00
559,146552.66,0.69,220.00
560,146552.66,0.69,220.00
561,146552.66,0.69,220.00
562,146552.66,0.69,220.00
563,146552.66,0.69,220.00
564,146552.66,0.69,220.00
565,146552.66,0.69,220.00
566,146552.66,0.69,220.00
567,146552.66,0.69,220.00
568,146552.66,0.69,220.00
569,146552.66,0.69,220.00
570,146552.66,0.69,220.00
571,146552.66,0.69,220.00
572,146552.66,0.69,220.00
573,146552.66,0.69,220.00
574,146552.66,0.69,220.00
575,146552.66,0.69,220.00
576,146552.66,0.69,220.00
577,146552.66,0.69,220.00
578,146552.66,0.69,220.00
579,146552.66,0.69,220.00
580,146552.66,0.69,220.00
581,146552.66,0.69,220.00
582,146552.66,0.69,220.00
583,146552.66,0.69,220.00
584,146552.66,0.69,220.00
585,146552.66,0.69,220.00
586,146552.66,0.69,220.00
587,146552.66,0.69,220.00
588,146552.66,0.69,220.00
589,146552.66,0.69,220.00
590,146552.66,0.69,220.00
591,146552.66,0.69,220.00
592,146552.66,0.69,220.00
593,146552.66,0.69,220.00
594,146552.66,0.69,220.00
595,146552.66,0.69,220.00
596,146552.66,0.69,220.00
597,146552.66,0.69,220.00
598,146552.66,0.69,220.00
599,146552.66,0.69,220.00
600,146552.66,0.69,220.00
601,146552.66,0.69,220.00
602,146552.66,0.69,220.00
603,146552.66,0.69,220.00
604,146552.66,0.69,220.00
605,146552.66,0.69,220.00
606,146552.66,0.69,220.00
607,146552.66,0.69,220.00
608,146552.66,0.69,220.00
609,146552.66,0.69,220.02
610,146552.66,0.69,220.04
611,146552.66,0.69,220.06
612,146552.66,0.69,220.07
613,146552.66,0.69,220.09
614,146552.66,0.70,220.11
615,146552.66,0.70,220.13
616,146552.66,0.70,220.15
617,146552.66,0.70,220.17
618,146552.66,0.70,220.19
619,146552.66,0.70,220.21
620,146552.66,0.70,220.22
621,146552.66,0.70,220.24
622,146552.66,0.70,220.26
623,146552.66,0.70,220.28
624,146552.66,0.70,220.30
625,146552.66,0.70,220.32
626,146552.66,0.71,220.34
627,146552.66,0.71,220.36
628,146552.66,0.71,220.37
629,146552.66,0.71,220.39
630,146552.66,0.71,220.41
631,146552.66,0.71,220.43
632,146552.66,0.71,220.45
633,146552.66,0.71,220.47
634,146552.66,0.71,220.49
635,146552.66,0.71,220.51
636,146552.66,0.71,220.52
637,146552.66,0.71,220.54
638,146552.66,0.71,220.56
639,146552.66,0.72,220.58
640,146552.66,0.72,220.60
641,146552.66,0.72,220.62
642,146552.66,0.72,220.64
643,146552.66,0.72,220.66
644,146552.66,0.72,220.67
645,146552.66,0.72,220.69
646,146552.66,0.72,220.71
647,146552.66,0.72,220.73
648,146552.66,0.72,220.75
649,146552.66,0.72,220.77
650,146552.66,0.72,220.79
651,146552.66,0.73,220.81
652,146552.66,0.73,220.82
653,146552.66,0.73,220.84
654,146552.66,0.73,220.86
655,146552.66,0.73,220.88
656,146552.66,0.73,220.90
657,146552.66,0.73,220.92
658,146552.66,0.73,220.94
659,146552.66,0.73,220.95
660,146552.66,0.73,220.97
661,146552.66,0.73,220.99
662,146552.66,0.73,221.01
663,146552.66,0.74,221.03
664,146552.66,0.74,221.05
665,146552.66,0.74,221.07
666,146552.66,0.74,221.09
667,146552.66,0.74,221.10
668,146552.66,0.74,221.12
669,146552.66,0.74,221.14
670,146552.66,0.74,221.16
671,146552.66,0.74,221.18
672,146552.66,0.74,221.20
673,146552.66,0.74,221.22
674,146552.66,0.74,221.24
675,146552.66,0.74,221.25
676,146552.66,0.75,221.27
677,146552.66,0.75,221.29
678,146552.66,0.75,221.31
679,146552.66,0.75,221.33
680,146552.66,0.75,221.35
681,146552.66,0.75,221.37
682,146552.66,0.75,221.39
683,146552.66,0.75,221.40
684,146552.66,0.75,221.42
685,146552.66,0.75,221.44
686,146552.66,0.75,221.46
687,146552.66,0.75,221.48
688,146552.66,0.76,221.50
689,146552.66,0.76,221.52
690,146552.66,0.76,221.54
691,146552.66,0.76,221.55
692,146552.66,0.76,221.57
693,146552.66,0.76,221.59
694,146552.66,0.76,221.61
695,146552.66,0.76,221.63
696,146552.66,0.76,221.65
697,146552.66,0.76,221.67
698,146552.66,0.76,221.69
699,146552.66,0.76,221.70
700,146552.66,0.77,221.72
701,146552.66,0.77,221.74
702,146552.66,0.77,221.76
703,146552.66,0.77,221.78
704,146552.66,0.77,221.80
705,146552.66,0.77,221.82
706,146552.66,0.77,221.83
707,146552.66,0.77,221.85
708,146552.66,0.77,221.87
709,146552.66,0.77,221.89
710,146552.66,0.77,221.91
711,146552.66,0.77,221.93
712,146552.66,0.77,221.95
713,146552.66,0.78,221.97
714,146552.66,0.78,221.98
715,146552.66,0.78,222.00
716,146552.66,0.78,222.02
717,146552.66,0.78,222.04
718,146552.66,0.78,222.06
719,146552.66,0.78,222.08
720,146552.66,0.78,222.10
721,146552.66,0.78,222.12
722,146552.66,0.78,222.13
723,146552.66,0.78,222.15
724,146552.66,0.78,222.17
725,146552.66,0.79,222.19
726,146552.66,0.79,222.21
727,146552.66,0.79,222.23
728,146552.66,0.79,222.25
729,146552.66,0.79,222.27
730,146552.66,0.79,222.28
731,146552.66,0.79,222.30
732,146552.66,0.79,222.32
733,146552.66,0.79,222.34
734,146552.66,0.79,222.36
735,146552.66,0.79,222.38
736,146552.66,0.79,222.40
737,146552.66,0.80,222.42
738,146552.66,0.80,222.43
739,146552.66,0.80,222.45
740,146552.66,0.80,222.47
741,146552.66,0.80,222.49
742,146552.66,0.80,222.51
743,146552.66,0.80,222.53
744,146552.66,0.80,222.55
745,146552.66,0.80,222.56
